movie_id,title,genres,genre_ids,release_year,release_date,runtime,rating,vote_count,popularity,overview,poster_path,backdrop_path,original_language,original_title,adult,video
TMDB1168190,The Wrecking Crew,Action|Comedy|Crime|Mystery,"28, 35, 80, 9648",2026,2026-01-28,0,6.892,759,113.6499,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,/cz4vLJrmaV1zJlRYbxqtvLzeLWB.jpg,en,The Wrecking Crew,False,False
TMDB1236153,Mercy,Science Fiction|Action|Thriller,"878, 28, 53",2026,2026-01-20,0,7.072,686,140.1336,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",/pyok1kZJCfyuFapYXzHcy7BLlQa.jpg,/7HKpc11uQfxnw0Y8tRUYn1fsKqE.jpg,en,Mercy,False,False
TMDB1272837,28 Years Later: The Bone Temple,Horror|Thriller|Science Fiction,"27, 53, 878",2026,2026-01-14,0,7.193,781,64.6184,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,/kK1BGkG3KAvWB0WMV1DfOx9yTMZ.jpg,/hHDNOlATHhre4eZ7aYz5cdyJLik.jpg,en,28 Years Later: The Bone Temple,False,False
TMDB1265609,War Machine,Action|Science Fiction|Thriller,"28, 878, 53",2026,2026-02-12,0,7.219,482,698.3936,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",/rFhKkXhk7ClU03jQ5rHIApJDwev.jpg,/6yeVcxFR0j08vlv2OlL6zbewm4D.jpg,en,War Machine,False,False
TMDB840464,Greenland 2: Migration,Adventure|Thriller|Science Fiction,"12, 53, 878",2026,2026-01-07,0,6.49,570,134.7811,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,/u9jE0R1nvkmdWu3bt7Op8joPywa.jpg,en,Greenland 2: Migration,False,False
TMDB1426964,State of Fear,Action|Thriller|Crime|Drama,"28, 53, 80, 18",2026,2026-02-10,0,5.402,56,70.5846,"As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.",/3Eaqedg8MAlnP51GYY8MCSIdTnV.jpg,/1Xdsq7U7bvJJd2X7Jg4qNaKVkYO.jpg,pt,Salve Geral: Irmandade,False,False
TMDB1584215,The Internship,Action,28,2026,2026-01-13,0,6.2,52,63.4742,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",/fYqSOkix4rbDiZW0ACNnvZCpT6X.jpg,/eUERZRVjCTNdgnESlQxyaOJ2d4K.jpg,en,The Internship,False,False
TMDB1305781,Blades of the Guardians: Wind Rises in the Desert,Action|Drama|History,"28, 18, 36",2026,2026-02-17,0,7.5,26,44.4658,"Dao Ma, the ""second most wanted fugitive,"" is entrusted by his benefactor, the chief of Mo family clan, to take on a mysterious escort mission-escorting the ""most wanted fugitive"" to Chang'an.",/AbunjMKX4P1sDNlKfhYrWkIoRD9.jpg,/cYyNJzwhaj7aC4uTlUctrfaERbf.jpg,zh,镖人：风起大漠,False,False
TMDB1297842,GOAT,Animation|Comedy|Family,"16, 35, 10751",2026,2026-02-11,0,7.5,98,53.7828,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,/1qwhYqg7YEZajh3Q4biqbuQoDq8.jpg,en,GOAT,False,False
TMDB1159831,The Bride!,Science Fiction|Horror|Comedy,"878, 27, 35",2026,2026-03-04,0,6.4,125,94.7987,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,/lV8YHwGkYZsm6EfIqnhaSz2avKt.jpg,/5hH7QiEPOiz7aGa4eJce74kZkO1.jpg,en,The Bride!,False,False
TMDB1198994,Send Help,Horror|Thriller|Comedy,"27, 53, 35",2026,2026-01-22,0,7.075,355,35.8255,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",/kL4MgAIZIYX3sCeG34N0XfVhCtt.jpg,/493MuzSs6iLyKM7aqsA30eODfsV.jpg,en,Send Help,False,False
